grid_size,label_type,metric,layer,mean,stderr
10,true,degree_per_layer,0,1.0,0.0
10,true,degree_per_layer,1,2.2222222222222223,0.04684855792842044
10,true,degree_per_layer,2,2.1052631578947367,0.03239931638163644
10,true,degree_per_layer,3,2.2222222222222223,0.04684855792842044
10,true,degree_per_layer,4,3.7777777777777777,0.20951312035156963
10,true,degree_per_layer,5,3.0,0.16762808104168886
10,true,degree_per_layer,6,1.1176470588235294,0.024710825012258995
10,true,num_nodes_per_layer,0,20.0,0.0
10,true,num_nodes_per_layer,1,18.0,0.0
10,true,num_nodes_per_layer,2,19.0,0.0
10,true,num_nodes_per_layer,3,18.0,0.0
10,true,num_nodes_per_layer,4,9.0,0.0
10,true,num_nodes_per_layer,5,11.0,0.0
10,true,num_nodes_per_layer,6,17.0,0.0
10,true,num_edges_per_layer,5>>6,19.0,0.0
10,true,num_edges_per_layer,1>>2,20.0,0.0
10,true,num_edges_per_layer,0>>1,20.0,0.0
10,true,num_edges_per_layer,2>>3,20.0,0.0
10,true,num_edges_per_layer,4>>5,14.0,0.0
10,true,num_edges_per_layer,3>>4,20.0,0.0
10,fake,degree_per_layer,0,1.0,0.0
10,fake,degree_per_layer,1,2.1052631578947367,0.03239931638163644
10,fake,degree_per_layer,2,2.1052631578947367,0.03239931638163644
10,fake,degree_per_layer,3,2.4375,0.06230438136680277
10,fake,degree_per_layer,4,3.1818181818181817,0.09806543454010795
10,fake,degree_per_layer,5,4.0,0.16480441082434807
10,fake,degree_per_layer,6,1.0526315789473684,0.01619965819081822
10,fake,num_nodes_per_layer,0,20.0,0.0
10,fake,num_nodes_per_layer,1,19.0,0.0
10,fake,num_nodes_per_layer,2,19.0,0.0
10,fake,num_nodes_per_layer,3,16.0,0.0
10,fake,num_nodes_per_layer,4,11.0,0.0
10,fake,num_nodes_per_layer,5,9.0,0.0
10,fake,num_nodes_per_layer,6,19.0,0.0
10,fake,num_edges_per_layer,5>>6,20.0,0.0
10,fake,num_edges_per_layer,1>>2,20.0,0.0
10,fake,num_edges_per_layer,0>>1,20.0,0.0
10,fake,num_edges_per_layer,2>>3,20.0,0.0
10,fake,num_edges_per_layer,4>>5,16.0,0.0
10,fake,num_edges_per_layer,3>>4,19.0,0.0
10,total,degree_per_layer,0,1.0,0.0
10,total,degree_per_layer,1,2.323529411764706,0.038842660694695885
10,total,degree_per_layer,2,2.2285714285714286,0.03152119930825767
10,total,degree_per_layer,3,2.92,0.05634181395730883
10,total,degree_per_layer,4,5.363636363636363,0.14811614424608166
10,total,degree_per_layer,5,4.6923076923076925,0.18647973820996863
10,total,degree_per_layer,6,1.2413793103448276,0.025128314767257177
10,total,num_nodes_per_layer,0,40.0,0.0
10,total,num_nodes_per_layer,1,34.0,0.0
10,total,num_nodes_per_layer,2,35.0,0.0
10,total,num_nodes_per_layer,3,25.0,0.0
10,total,num_nodes_per_layer,4,11.0,0.0
10,total,num_nodes_per_layer,5,13.0,0.0
10,total,num_nodes_per_layer,6,29.0,0.0
10,total,num_edges_per_layer,5>>6,36.0,0.0
10,total,num_edges_per_layer,1>>2,39.0,0.0
10,total,num_edges_per_layer,0>>1,40.0,0.0
10,total,num_edges_per_layer,2>>3,39.0,0.0
10,total,num_edges_per_layer,4>>5,25.0,0.0
10,total,num_edges_per_layer,3>>4,34.0,0.0
